# alpha beta0 gamma log10_P0
1.290401794786719458e+00 4.372701011371625590e+00 -2.282924427776948928e-01 1.592352511874702614e+00
1.426951537987541485e+00 3.117029908712391606e+00 -4.695653753060390900e-01 -1.532722502202398029e+00
5.695924104657524856e-01 5.820273982911563060e+00 -7.739771852765815474e-01 -3.665799442255031071e-01
1.465708430184943456e+00 3.433804597696511252e+00 -3.201491569483175814e-01 3.822336626455418163e-01
1.326928199106551354e+00 3.909458462309982174e+00 -5.068420375823835533e-01 3.225883417818780075e-01
7.002701447028545356e-01 3.321694978722375069e+00 -3.615981393296012758e-01 -6.177395492996149429e-01
1.168260947187557797e+00 4.637165677217947923e+00 -5.001070207038620374e-01 -1.154926078965035074e-01
8.853645710809381342e-01 4.804876389880195831e+00 -6.033958444517986131e-01 1.183015373100830381e+00
5.911518734343998993e-01 3.219174265109375543e+00 -3.776186429440323566e-01 -1.757202290216757667e+00
9.290065276527426086e-01 5.389778829927036163e+00 -3.419115861534798295e-01 -2.037597002160744797e-01
1.432368824943389685e+00 4.674051850489167492e+00 -1.354199741779854582e-01 1.912127543032209775e+00
1.205467449892608567e+00 3.645473326083501053e+00 -4.823993531417311020e-01 -3.021877240206638504e-03
1.010830614046458464e+00 4.156208059429047807e+00 -2.438620080435445203e-01 -1.780603901855076554e+00
1.260632236220100344e+00 4.748027238654353610e+00 -6.970832049402775343e-02 9.070843713538541131e-01
8.750760794906771167e-01 3.575492447607925506e+00 -7.343323724549856157e-01 5.864114729300529127e-01
1.147572944538982620e+00 5.433812548413336607e+00 -6.600842871607970341e-01 8.354038253813751425e-01
1.369456071224383509e+00 4.139891370311466368e+00 -2.712500296534077204e-01 6.287637879416894116e-01
9.636521995038976884e-01 5.491644038169683384e+00 -6.874204692266263628e-01 -5.359804024266305866e-01
1.199430138786057753e+00 3.782009701783123568e+00 -7.222955247195655959e-01 -3.799556524307063921e-01
7.118099764102588933e-01 3.669559874330310834e+00 -2.050007513227314337e-01 -1.105662779726883205e+00
5.326012650478555432e-01 5.997621284602082881e+00 -5.470614497095865891e-01 5.311150993943161147e-01
1.212163434555307173e+00 5.836751378873433538e+00 -7.506768652446280665e-01 9.874405351681425635e-01
6.057680291633749103e-01 3.308770746998084267e+00 -4.912164082156858513e-01 -1.152455131846093384e+00
7.251394228470195991e-01 3.348892815225755548e+00 -8.831053697660218305e-02 -1.924466024679587495e+00
6.338682934599932928e-01 5.780645558137105233e+00 -7.908672636441425041e-01 7.706595402049636334e-01
8.501394404757689482e-01 3.015179716557236933e+00 -1.061983546989575533e-01 1.637520141938798801e+00
1.072964287362184521e+00 4.927542159709057401e+00 -6.517812588474277691e-01 -2.703634536548908951e-01
5.726692158436945679e-01 3.468458149720798023e+00 -4.359701672300281827e-01 -8.011339132745602942e-01
1.221211516089810933e+00 3.272337903826557426e+00 -6.368263509676825862e-01 -3.210471128341036984e-01
1.390936658965859163e+00 5.705084265259620757e+00 -1.864093589738617940e-01 1.481523053019976999e+00
5.424416149694519795e-01 5.115342742360178718e+00 -7.047926170238092425e-01 1.116339848302658755e+00
1.131239234014160377e+00 5.358582824921485965e+00 -1.285069593129412047e-01 1.234049925673579740e+00
1.418900736559697506e+00 3.192986874098182160e+00 -5.888053050565106306e-01 -2.269978241429233545e-01
1.085739007162963565e+00 3.748917243864406057e+00 -4.996761623769039873e-01 1.031891732677145956e+00
5.032793928371335213e-01 3.885718819258454637e+00 -3.896969942001448084e-01 -1.557481321730969093e+00
1.159480395108220430e+00 4.186261667663187858e+00 -1.907959109178873902e-01 2.552757831835803515e-01
1.477888612879947328e+00 5.596818126803710491e+00 -2.569529192934526529e-01 -1.859186990128723682e+00
7.485501101144791392e-01 4.293126393875972724e+00 -5.667026213954007297e-01 -6.908066883811445624e-01
9.347370937196757268e-01 4.405953400781030815e+00 -4.146459284968511128e-01 8.585205947741250121e-01
9.853308979333741391e-01 4.034439202863323359e+00 -3.305751928824239849e-01 1.033428818908741498e-01
7.370864638578236150e-01 5.872453440475097430e+00 -7.769456698917500681e-01 -1.684729067921350243e+00
9.405109802929940699e-01 5.533490303107230446e+00 -4.242999189366645219e-01 -1.639349942677676086e+00
1.247576055477976897e+00 5.185532640315877018e+00 -6.846818089634564286e-01 -8.633398260519853373e-01
8.329891242121534312e-01 3.912320842921816144e+00 -3.063065614160218608e-01 1.137561770879877088e+00
8.590521713822636407e-01 3.675587191699420941e+00 -4.198224433039472459e-01 -8.390149370672350670e-02
7.432939360002461804e-01 5.407533687237469522e+00 -5.960738161153316117e-01 -1.886538174778935817e+00
1.237396803910429277e+00 4.000911383391741794e+00 -1.487512884907913335e-01 1.761845947933827539e+00
6.575845808684600557e-01 4.705957394507626290e+00 -6.306877642125892081e-01 -1.011538829151875429e+00
1.396023722737299355e+00 4.538899199416613683e+00 -1.537034506271842682e-01 -1.194780690549150037e+00
1.355148643745029080e+00 3.360021486468618424e+00 -7.319941084166392553e-01 -8.368040004978816171e-01
7.632764741841269185e-01 3.410471198426480832e+00 -7.521739970192268254e-01 -4.397064978573166361e-01
1.274855824998666787e+00 4.997357569423386714e+00 -4.591892253632774423e-01 1.885957673181160033e-02
1.078749847685380292e+00 3.263132094948127282e+00 -2.900325790047723062e-01 2.063469466555392096e-01
1.095152598578818193e+00 3.484764436539374177e+00 -6.094313169237643990e-01 1.972818917026461616e+00
6.515421444787738992e-01 4.108776867512599296e+00 -6.156677258103371297e-02 -1.512707468771340213e+00
7.824150337281708945e-01 5.739888474752270930e+00 -5.024090779728240808e-02 1.705542972456990380e+00
5.150006105655549060e-01 5.555891256235367948e+00 -5.584711287699730686e-01 1.435839620973555331e+00
1.045190951201904639e+00 3.596274888181413942e+00 -1.804077265516110806e-01 -1.814177327707804821e+00
1.153833929989457552e+00 5.310962287265248882e+00 -3.678812287093922162e-01 4.444306046087334039e-01
8.675639974800696264e-01 4.905208584721739484e+00 -5.602541033094809997e-01 -6.522926627637382069e-01
7.663233737191950112e-01 5.683844931685859692e+00 -3.505503260349451811e-01 -2.187306332417038313e-02
8.121597825635664680e-01 4.788994544580996049e+00 -7.207044856900485241e-01 -1.732365066947448851e+00
1.487420694800330789e+00 4.316516873888039285e+00 -6.736761467213485677e-01 1.862357035759528934e+00
9.673758622735396662e-01 4.759205377329863040e+00 -2.518953989314719477e-01 -6.860990211102566683e-01
1.258812488080639724e+00 3.707799534277273601e+00 -6.944242063444445723e-01 6.482660065655654336e-02
9.550462597904181283e-01 4.028781729363053898e+00 -1.596684532746875940e-01 1.670249452679653412e+00
6.005767742905492312e-01 5.073336298871121031e+00 -1.018077747045096348e-01 -1.981177948690738155e+00
5.527297351245704649e-01 3.138776915359272834e+00 -2.815298374904541268e-01 9.658546908378484730e-01
8.997115213257811384e-01 3.973958398940235170e+00 -1.188447960505411016e-01 4.247810282174651064e-01
9.194203365350230861e-01 4.066421474389633417e+00 -5.222120130866623189e-01 -4.847343514304387480e-01
1.446780535547831814e+00 5.728410860356222933e+00 -4.747245933319157452e-01 -1.057572620275189834e+00
5.845486544385608552e-01 3.080975700457414757e+00 -3.941639440067015721e-01 1.055592344172583630e+00
