# logM_cut logM1 sigma
1.366869483230322402e+01 1.375557111575488101e+01 3.537195018220028464e-01
1.359778385542584367e+01 1.408990283342375527e+01 4.906555198139204155e-01
1.331487506486464412e+01 1.391637317550919484e+01 4.605460107714262064e-01
1.377692541003233018e+01 1.428240742479724190e+01 4.541679763097248301e-01
1.303507914403641976e+01 1.412329423094103120e+01 1.208902950612170402e-01
1.347851631086455093e+01 1.415743615641277131e+01 2.703834970558713913e-01
1.349073144442870920e+01 1.388175905332711579e+01 2.574181643237197781e-01
1.320593977148307374e+01 1.410009219200187758e+01 1.601279128599020773e-01
1.374334156872967228e+01 1.453575299159334300e+01 1.491298058799939430e-01
1.312803049774377762e+01 1.457509577503559761e+01 2.785027839610860756e-01
1.360843683003648685e+01 1.372258604348166067e+01 1.769622832792271117e-01
1.339073628379267689e+01 1.374525393162338816e+01 3.866766774736645207e-01
1.379050536908450653e+01 1.418898043332566239e+01 3.765064207773020089e-01
1.320295015793630888e+01 1.421184752767206483e+01 1.035180588499886312e-01
1.330350896827035356e+01 1.468542888030331284e+01 4.716934313667510148e-01
1.326728292676736842e+01 1.469770339464663600e+01 3.462508759183250406e-01
1.353521426133714201e+01 1.434179321979904920e+01 2.944451903235176804e-01
1.364811269429575624e+01 1.471474592347588839e+01 3.617122049948975349e-01
1.367594425484916698e+01 1.417173689183500684e+01 2.697363555644269884e-01
1.345328936530554920e+01 1.474982992122454384e+01 1.429873401367587338e-01
1.307722295025742909e+01 1.401580385864928502e+01 3.276004486966799245e-01
1.346078350189527129e+01 1.407006526078711239e+01 2.105220319921689287e-01
1.313547576899377134e+01 1.425481935407992395e+01 3.021448748979870258e-01
1.332640968722470021e+01 1.473784478219520544e+01 2.910228319092969529e-01
1.375734854314894662e+01 1.434924407208624153e+01 1.194271075462358944e-01
1.362830076628275222e+01 1.442036327279737584e+01 4.108896039153463464e-01
1.371346409955327594e+01 1.395791756427937003e+01 4.597193208058721892e-01
1.351432354272273528e+01 1.421718572448321183e+01 1.248079148935312688e-01
1.349226790711360024e+01 1.382207601496412863e+01 4.490652367968893666e-01
1.372086094620299157e+01 1.428840189768812685e+01 2.417817120064685299e-01
1.362468228554046945e+01 1.450411750601421268e+01 4.435347185160671835e-01
1.336987692163760499e+01 1.394416691298614985e+01 1.822645220924479781e-01
1.316158757137064583e+01 1.389023085636899424e+01 3.352516319131856326e-01
1.354229647165450601e+01 1.389991437935930918e+01 4.722650187364954011e-01
1.375018441247169498e+01 1.441363688240376817e+01 2.675266752740048659e-01
1.363301594287902674e+01 1.470200887180116922e+01 3.197894438402917316e-01
1.360373376457217987e+01 1.465373061484934070e+01 1.597076535116146168e-01
1.369270134323817523e+01 1.394029315929341806e+01 2.277122561340577112e-01
1.338431611811004984e+01 1.373208957552495590e+01 4.694305598353241127e-01
1.334738554641923258e+01 1.387536480464983946e+01 3.939577039673270997e-01
1.379577841836334429e+01 1.466153947190985285e+01 4.418932361347456261e-01
1.353763542473555681e+01 1.406475607010260198e+01 3.512127390863359899e-01
1.342672803561219297e+01 1.391172510569637666e+01 1.462499901155308035e-01
1.315259547349271152e+01 1.382076088715892936e+01 1.536370031808069747e-01
1.344705302051558249e+01 1.400662836833292246e+01 2.388575346965144675e-01
1.352233495029718746e+01 1.477772910234039827e+01 3.692527717230809081e-01
1.306990498820512947e+01 1.380394080453402950e+01 2.203330828924228990e-01
1.319979215253414040e+01 1.383791336972040042e+01 4.198017737168403540e-01
1.300462570019360875e+01 1.370053540770839717e+01 1.440408586388268186e-01
1.332079189647890516e+01 1.422921287352575703e+01 3.987150334480089597e-01
1.302488401458168710e+01 1.444725996285372815e+01 1.809278639281047263e-01
1.360594310851923794e+01 1.458078335320732677e+01 2.510744012688129745e-01
1.375445964201559867e+01 1.377898240200819480e+01 1.234670733649983199e-01
1.368744092635618514e+01 1.439037167499287051e+01 3.671662212628102884e-01
1.309906972023788541e+01 1.437447868504436599e+01 2.432672151003475169e-01
1.376269001774235079e+01 1.402241294756150225e+01 1.386285133090881250e-01
1.379881249410171584e+01 1.472328128140306625e+01 4.241673039609236140e-01
1.369007635828680058e+01 1.472119401337247524e+01 4.089291304203400701e-01
1.355660575804490620e+01 1.400991076962691828e+01 3.823912163441058887e-01
1.361386911089573815e+01 1.460951895303902859e+01 3.814236887716350166e-01
1.313706042735075918e+01 1.404538677473780872e+01 3.426104037423630122e-01
1.323255712372669635e+01 1.468377343439484228e+01 3.107712405189161364e-01
1.336361961700708001e+01 1.425700856404450789e+01 2.178310135623529875e-01
1.324825624070919794e+01 1.392474425638479119e+01 4.160822395081819058e-01
1.302879646329565944e+01 1.453823474897543555e+01 3.644347517907409184e-01
1.357681954064406860e+01 1.390379685115450492e+01 4.754932332923216265e-01
1.327763969641856789e+01 1.466747722941339660e+01 1.147676685999517721e-01
1.347131483478362846e+01 1.410939277163690164e+01 3.288551389719323037e-01
1.325413605938807571e+01 1.406012552523467818e+01 2.544721532199868408e-01
1.310480302113395190e+01 1.437929315731433455e+01 3.248008131169547452e-01
1.308827505505723998e+01 1.395234146526324359e+01 4.077657928681998056e-01
1.339564916395235805e+01 1.397688175193227700e+01 3.311627833984192582e-01
1.314090271433543222e+01 1.385030822722680277e+01 3.573327244833435223e-01
1.352840653381055347e+01 1.447680607319111168e+01 1.354589301181796657e-01
1.333454323192891167e+01 1.444077058010887704e+01 4.356847767027500762e-01
1.322340886650983194e+01 1.374985129895143210e+01 4.671241919256025055e-01
1.327046672070889066e+01 1.419648672860227379e+01 4.508940138694942368e-01
1.324425544005264577e+01 1.384420834178349757e+01 4.470412608717510006e-01
1.358649456210607731e+01 1.464607352650291716e+01 2.365644795279927270e-01
1.326019522135998407e+01 1.446384836782530670e+01 4.522989326416184674e-01
1.336545170446403574e+01 1.457382943076915716e+01 3.148234840000615486e-01
1.320925561453957897e+01 1.467893233522761243e+01 1.290913640763165227e-01
1.322469840195521407e+01 1.431987552536060804e+01 3.210829038364029220e-01
1.337423074349172936e+01 1.451783939934706602e+01 2.961631162089689018e-01
1.321687482385827472e+01 1.400189176373952193e+01 2.480059306843248601e-01
1.328848319990276927e+01 1.427043850359174826e+01 4.803262068406781715e-01
1.316757432187251453e+01 1.398600492398239048e+01 1.646686305277869355e-01
1.348139949993776554e+01 1.474450257600158842e+01 4.022059332022067668e-01
1.315988400198718189e+01 1.449617544568077321e+01 2.817139562496667748e-01
1.303689292823723100e+01 1.443040987675032838e+01 1.941787235457382299e-01
1.328137492384269081e+01 1.473380110509227947e+01 4.459891403317426395e-01
1.348779336833194264e+01 1.427416741152293689e+01 2.443970363782811683e-01
1.308704578871749113e+01 1.436082825136392316e+01 2.878855361196934748e-01
1.306079614458543325e+01 1.445389712513405200e+01 4.044557832017913190e-01
1.347320751686408613e+01 1.376139110879739391e+01 1.999196974009058714e-01
1.343519287155712405e+01 1.389731291976381833e+01 1.009909380196140349e-01
1.345701924748668432e+01 1.424653493485483047e+01 2.042977378004761368e-01
1.315137914803023556e+01 1.371795958399435555e+01 2.836139170182622182e-01
1.301891696499472850e+01 1.475759552416495346e+01 4.000395904302026517e-01
1.340555382557609221e+01 1.402970024826754702e+01 2.307673820601449377e-01
1.305583059779367971e+01 1.442113719858748233e+01 3.405808434297987741e-01
1.376730748861431053e+01 1.407899553446796581e+01 4.956329335422393623e-01
1.342007989128178380e+01 1.462147791646647832e+01 4.784318381033172418e-01
1.365745436663156909e+01 1.378485172767522648e+01 4.937097394906698744e-01
1.319221590218576701e+01 1.429234261552116969e+01 2.288439655683849328e-01
1.338120089622164421e+01 1.430692921764615022e+01 3.221188111806089216e-01
1.362340624404031963e+01 1.443420405993854239e+01 4.831919312185184445e-01
1.341010332508206915e+01 1.463434430360591243e+01 3.897318107802545395e-01
1.329888769781687508e+01 1.403932412467931456e+01 4.571441935726373584e-01
1.350955604981185409e+01 1.445000953985420011e+01 1.171763782068288573e-01
1.309436486756228568e+01 1.436980304310316647e+01 2.848233875031819795e-01
1.344273183635473146e+01 1.405730167091147464e+01 2.071631999116863021e-01
1.325810346929963934e+01 1.433125923922487743e+01 2.248550841337557671e-01
1.378173691239827292e+01 1.440563898800389353e+01 1.667041030355975728e-01
1.350139026777391571e+01 1.420976082216496827e+01 4.624251355560281551e-01
1.364180342246560151e+01 1.396162719992651091e+01 3.127479750381179091e-01
1.339855737066219987e+01 1.386217993415466232e+01 3.045265886230355545e-01
1.310845438845310440e+01 1.422293418541487675e+01 4.769927341496338347e-01
1.301391889954103753e+01 1.459210071274080001e+01 4.893710986165116239e-01
1.330465047055061945e+01 1.393378222094415442e+01 4.657682865513295134e-01
1.317171176341170913e+01 1.464136903733928285e+01 1.898888641661862497e-01
1.335087755425546518e+01 1.433616228477724164e+01 1.336540111096168326e-01
1.305074442652079192e+01 1.371241519088301075e+01 3.719706343128797998e-01
1.356869130630191833e+01 1.379428898587033991e+01 3.952554768536169494e-01
1.300338554840375771e+01 1.397169537775630133e+01 4.997606548882702615e-01
1.370654032255568744e+01 1.448122863950504424e+01 1.060090710548327320e-01
1.358891158043458169e+01 1.435828971169543600e+01 2.226246699016678210e-01
1.304517837453806450e+01 1.456136687067660063e+01 4.847182227308276525e-01
1.373595708942009708e+01 1.373735018287768739e+01 2.529498233940654650e-01
1.354734499478296783e+01 1.459008751222667932e+01 1.723273914188995226e-01
1.312404346798926547e+01 1.376844216814584243e+01 1.543218605382365716e-01
1.314403871334269525e+01 1.460122122261287281e+01 2.191035087734913012e-01
1.343042970913663225e+01 1.398555972893994515e+01 1.304893396544105078e-01
1.371026488389071041e+01 1.470941870186195288e+01 1.876986540523735147e-01
1.341927629339107675e+01 1.410201093007814066e+01 1.579107018220514691e-01
1.321506859086022523e+01 1.478739367368327073e+01 1.690196049151968249e-01
1.317365421930794156e+01 1.429678690513282113e+01 3.918317693308862593e-01
1.378702533018377707e+01 1.419036026388380556e+01 3.007248225990430957e-01
1.366540340379946272e+01 1.477981388209556890e+01 1.744741939619209314e-01
1.311576756607311367e+01 1.452298365388287138e+01 4.149209451294766371e-01
1.377464617406681135e+01 1.476235536619692112e+01 4.370348549828254603e-01
1.367692548964216392e+01 1.466881391465715367e+01 2.089904170341930212e-01
1.328436179102451575e+01 1.423577081832704749e+01 2.122994514023325563e-01
1.377063763681763398e+01 1.439575650672807683e+01 3.969371779179908799e-01
1.357558008113641534e+01 1.420380796121314226e+01 2.141653246548966827e-01
1.358147667103854062e+01 1.415552371379659746e+01 4.133222887287808511e-01
1.355523358796135014e+01 1.432686347277510741e+01 1.781450790829919584e-01
1.359420717068697293e+01 1.409430855710168551e+01 2.768030456168845133e-01
1.318797074217482823e+01 1.385797087841369546e+01 2.325939330686022100e-01
1.350546492090772333e+01 1.377160006728851549e+01 1.047592845806839118e-01
